district,value
Bhaktapur,471682674
Dhading,4737364551
Dolakha,4698415379
Gorkha,7363405556
Kathmandu,908075581
Kavre,1772965779
Lalitpur,918903886
Lamjung,793330664
Makwanpur,2422261148
Nuwakot,3793649408
Okhaldhunga,550450773
Ramechhap,604667990
Rasuwa,2878677369
Sindhuli,1495710588
Sindhupalchok,7939537516
Solukhumbu,48485171
Syangja,5680440
Tanahu,461212631
